"Module","Module_Size","Gene","kME","GS_Breed","GS_Weight","GS_PD","GS_Urea","GS_Breed_x_Weight"
"yellow",152,"ENSSSCG00000036144",0.970427576104657,0.182163872014204,0.436041700198225,-0.247398949882828,-0.0376587134293246,0.490193745820471
"yellow",152,"RBMS3",0.96569217616019,0.384133548505704,0.444090580674248,-0.1525293474893,-0.167835315897721,0.669473805050648
"yellow",152,"COX1",0.955183208426547,0.293095400446408,0.473599869169284,-0.213795049348862,-0.112752665455207,0.611938927748183
"yellow",152,"MAML2",0.949144392477121,0.347736502273157,0.401039193526239,-0.131803684681076,-0.154546523290076,0.60322476239606
"yellow",152,"ND4L",0.943361817561089,0.243362421731246,0.551123248152067,-0.313860951374065,-0.0565986479358764,0.585390983670297
"yellow",152,"SOX5",0.942614345090831,0.302812473585173,0.404825719482163,-0.164454539189562,-0.123672263898865,0.543590161794212
"yellow",152,"ZBTB20",0.939606973016903,0.308300499115294,0.420805836693532,-0.182139616693471,-0.139515092916516,0.5899283863104
"yellow",152,"XKR6",0.939270756311884,0.264295325659661,0.406295452088478,-0.193534458857038,-0.126940724958995,0.492392337386413
"yellow",152,"ND4",0.936650049501104,0.281885585400083,0.54031800860274,-0.286097486830325,-0.0913608092947227,0.624203876754651
"yellow",152,"ENSSSCG00000052253",0.936231343501752,0.386722293479106,0.390203789919101,-0.109158326004311,-0.191746430056618,0.634511797486765
"yellow",152,"ADAMTSL1",0.933900592372717,0.353010636658726,0.413911232401503,-0.14162987697244,-0.134681636207732,0.624303651643405
"yellow",152,"FRMD4B",0.931837833627369,0.377311450368625,0.411389358907202,-0.127147727710279,-0.190331141409332,0.647235400125571
"yellow",152,"GPN1",0.928529513194788,0.387329162884211,0.410069035283791,-0.112255349276723,-0.189840954626609,0.648332333788877
"yellow",152,"RAD51C",0.927351586286319,0.399755252926321,0.387785030541037,-0.0783571885417868,-0.172128372441822,0.636605903675262
"yellow",152,"ENSSSCG00000045648",0.927241291014082,0.36138470245922,0.36179611258002,-0.108888574102481,-0.204156228013455,0.599063716908599
"yellow",152,"CYYR1",0.926766359960587,0.373113250805365,0.426891870305342,-0.138842909506988,-0.182094173440667,0.650952756070214
"yellow",152,"ENSSSCG00000051245",0.914097414381531,0.353982364622185,0.448293974045612,-0.18055560722811,-0.125274164574559,0.618264293299343
"yellow",152,"ENSSSCG00000050221",0.912834987355774,0.265386296404483,0.47984266570232,-0.266139052561528,-0.126173975588669,0.537309576481356
"yellow",152,"FOXP1",0.908601941016513,0.283279866294931,0.372323235895602,-0.155972814891149,-0.134914792124151,0.522236190727073
"yellow",152,"ENSSSCG00000059274",0.902716605619771,0.383316393769364,0.413036633047144,-0.141935898925487,-0.207348468203894,0.63520209356773
"turquoise",5395,"UBE2Q1",0.984834708163039,-0.178653674235723,-0.411660773830806,0.175798728050093,0.000636409476909595,-0.579840591642411
"turquoise",5395,"HNRNPUL1",0.983290045703234,-0.166151377297464,-0.499459240394659,0.273394552202649,-0.0124283731370432,-0.575029275733398
"turquoise",5395,"YWHAE",0.982829556339372,-0.169618976500082,-0.445193090283052,0.235365865823499,0.0406287702573277,-0.56509185746902
"turquoise",5395,"API5",0.982144935754488,-0.197694846540508,-0.450163216713923,0.209869795599005,0.0209586978052361,-0.603006968921671
"turquoise",5395,"HNRNPK",0.981487333338431,-0.12105850378724,-0.476692706116162,0.271965220367587,-0.0365005974499881,-0.551424043928705
"turquoise",5395,"IPO5",0.981374345962259,-0.0506424286789198,-0.399819978353995,0.245717040168864,-0.0550571928341305,-0.474310845121904
"turquoise",5395,"LAPTM4A",0.980914757488282,-0.107009786480598,-0.409171227193484,0.224597151193021,-0.0328468346738517,-0.492242504183542
"turquoise",5395,"SEPTIN2",0.979651063017669,-0.174760680035387,-0.392783688722575,0.177376864743272,0.0224333317616784,-0.54367154298618
"turquoise",5395,"NONO",0.979220702811807,-0.183425161622668,-0.498970694474208,0.253807372566053,-0.0198300291511497,-0.590724674674027
"turquoise",5395,"ENSSSCG00000007203",0.978540317272292,-0.167670867128413,-0.346850245178214,0.140091521523136,0.0149735713474084,-0.528177361744615
"turquoise",5395,"ENSSSCG00000031705",0.978530589987814,-0.108347259079866,-0.467429360097372,0.271533082276911,-0.0679287168230824,-0.531683919125988
