"Gene","Module","GS_Breed","GS_Weight","GS_PD","GS_Urea","GS_Breed_x_Weight","kME_module"
"ACTA1","green",0.134107634505471,-0.685892924816015,0.62553161625919,-0.359777039233038,-0.249299690915826,0.534817058636403
"GAPDH","green",-0.0759904754784545,-0.654871345401291,0.498443975230787,-0.201589119440487,-0.376042791192874,0.477437837403676
"ATP8","turquoise",0.29495734560536,0.306469765565148,-0.07623784694702,-0.117000211607714,0.500175344167022,0.0230564119892291
"MYL11","green",0.29711346619175,-0.466365990485302,0.58859220190605,-0.259498332225816,0.0307894479642306,0.427361284172878
"COX2","turquoise",-0.15003160810974,0.563170043772546,-0.589764750845587,0.137616647040129,0.263762457766581,0.426610576139622
"CKM","green",-0.0123496629717893,-0.746748780037939,0.626775516814697,-0.27916052428485,-0.388158810443348,0.491837546695115
"COX3","magenta",-0.190640680450469,0.514426433697739,-0.575506589981241,0.119715466604101,0.226237174184608,0.312848606579318
"MYL1","turquoise",0.302037913918838,-0.463296953468832,0.55150704863246,-0.324990300629641,-0.0100156239030946,0.355289765151394
"ALDOA","darkgrey",-0.00850665876977286,-0.419697657148544,0.395633703460812,-0.0589519631663867,-0.165326255318161,0.399639153755745
"COX1","turquoise",-0.0670662361064493,0.484552154160021,-0.485663118296655,0.0924326184069278,0.158274874226779,0.831782206756511
"ENO3","green",0.226794915167666,-0.752681829936566,0.757882334443774,-0.437889027075131,-0.178177591179032,0.570691962321501
"ND3","black",-0.180034750453437,0.312045157949742,-0.380417260957706,0.0259184251970689,0.242357093037679,0.31024625139272
"ATP6","turquoise",-0.213735641345487,0.610886251161166,-0.644465881850252,0.26583783893646,0.161803528408961,0.67659588273588
"ND4L","blue",-0.323830444031884,0.212207110960935,-0.416432794654046,0.135749017801076,-0.0978794832304464,0.54582412304149
"TNNT3","turquoise",0.344194776764269,-0.180097496267621,0.393787750316372,-0.132872747944937,0.18694611235154,-0.123304575169764
"TPM1","green",0.169675026082161,-0.291906382360202,0.395064473280063,-0.0450555688959917,0.0283827792050618,0.0963393383754442
"TPM2","greenyellow",0.450047918666862,-0.287759465976664,0.438499857911458,-0.546043020047962,0.227967449906162,0.449423893410458
