"Module","Module_Size","Gene","kME","GS_Breed","GS_Weight","GS_PD","GS_Urea","GS_Breed_x_Weight"
"green",554,"SPARC",0.932183653914307,0.140202661373409,-0.635785850891547,0.63228293859091,-0.343446245597588,-0.141612984674127
"green",554,"ACTB",0.928956278225855,0.170357328143412,-0.662946566111287,0.640247898349802,-0.400135200729642,-0.201991284038497
"green",554,"GNAI2",0.922138241910245,0.0415251318499185,-0.74030794702645,0.642758838873668,-0.326855424431624,-0.258177212668722
"green",554,"MMP19",0.921430402588491,0.174147045001849,-0.701814604698499,0.70468457209481,-0.328140089205276,-0.182570618287923
"green",554,"ENSSSCG00000038151",0.917591577300464,0.227911129514927,-0.696132552239899,0.682888647700751,-0.497812999868401,-0.127699191554378
"green",554,"COL4A1",0.915352818054265,0.265570677263833,-0.72168672194608,0.756697786651759,-0.442071378516042,-0.0712415146983047
"green",554,"CCDC80",0.914642998564081,0.128360500187093,-0.603734631037923,0.601622966139421,-0.246736676316373,-0.232620100044893
"green",554,"PTGFRN",0.912717689497441,-0.00104411672522227,-0.773724873797374,0.645715678822548,-0.26127521849199,-0.364845627714424
"green",554,"KDR",0.908731677301711,-0.0528919707465543,-0.761799689131796,0.588401127803002,-0.334513619610996,-0.411879541493492
"green",554,"RRBP1",0.908615055188388,0.215404852761523,-0.66058317125211,0.674331014017508,-0.36482268050525,-0.164587325751202
"green",554,"DAB2",0.908240620933226,0.0808501105055861,-0.523509268346842,0.504490298024223,-0.234408877539034,-0.195682716394327
"green",554,"FGFR1",0.90636036700587,0.129957079380402,-0.59005358464532,0.57641180701243,-0.230020137842165,-0.223576816174635
"green",554,"P3H4",0.904711519207779,0.326141263126904,-0.761789016498221,0.793986066094206,-0.549982930914761,-0.126126292104187
"green",554,"DAP",0.90190221294949,0.220999220908486,-0.632476312791376,0.641499203459834,-0.39547209419557,-0.145275692614964
"green",554,"PXDN",0.899113313702664,0.0480666745493857,-0.698787640728405,0.599703035005222,-0.309878321161597,-0.224644331292194
"green",554,"YWHAQ",0.897013977900481,0.185494032731325,-0.68969661415724,0.648376840412207,-0.443077293348756,-0.247404290010056
"green",554,"MMP14",0.895872497858044,0.321961923880855,-0.562536677767666,0.629984409923186,-0.434214819439491,-0.033173724198994
"green",554,"FKBP10",0.894255268164438,0.28097533554944,-0.618116598152328,0.667394718418848,-0.420493273323382,-0.0810349954075158
"green",554,"VASP",0.893250427053143,0.154837926888857,-0.620366421906994,0.588849827366325,-0.378433778849218,-0.171387625530693
"green",554,"LAMA4",0.892584575303634,0.183227365025228,-0.71875460037999,0.686639747244581,-0.379201061814414,-0.227254715087984
"turquoise",2426,"CMPK1",0.983332244587237,-0.0460130317409431,0.448222521945279,-0.396516153959312,0.246680215553634,0.085007127729733
"turquoise",2426,"KRIT1",0.979833523240832,-0.0664267497061783,0.411188967409469,-0.370675803452021,0.258573013896846,0.0249731983790979
"turquoise",2426,"DPM1",0.979086258282683,-0.0829414356777844,0.442579583486873,-0.402154700379495,0.28475769853513,0.0375090013493812
"turquoise",2426,"C11orf58",0.978840148567334,0.0105303695124934,0.395464528112368,-0.321842477829824,0.184190360079234,0.0825028883254247
"turquoise",2426,"CNEP1R1",0.977737616307174,0.0181009058054416,0.454417702427296,-0.351087590925697,0.214651375326561,0.140081466413293
"turquoise",2426,"EIF2S2",0.977415360485357,-0.0414094297998799,0.33540964389306,-0.307123609185284,0.183285312239834,0.0449410684689041
"turquoise",2426,"LSM14A",0.976232217462142,-0.109584192288701,0.356563015913227,-0.361987541706146,0.239648537279648,-0.0283226138155946
"turquoise",2426,"CBX3",0.975991750481787,-0.0544738087799106,0.33350574942212,-0.309485747376442,0.198720753642154,0.00707246646861955
"turquoise",2426,"LIN7C",0.97518809078928,-0.0505677728491224,0.397805013115219,-0.352958575718198,0.189799973083658,0.0668549632077357
"turquoise",2426,"TMEM106B",0.974663529983904,-0.0574316847767477,0.418311147642001,-0.383648891039728,0.220643644740068,0.0583292297796065
"turquoise",2426,"PPP4R3B",0.974157990932887,-0.00344867505499555,0.31016351535807,-0.264872091770681,0.148656836780791,0.0147371105672179
"turquoise",2426,"IER3IP1",0.973838677200675,-0.0108331900055516,0.435304513817884,-0.351947105524704,0.247447945246697,0.132910934283774
"turquoise",2426,"EIF3J",0.97267398152749,-0.0299621192475133,0.336903052404944,-0.290231109204447,0.193516166250522,0.0591009598883372
