seq_id,L_2_2_1,L_2_2_2,L_2_2_3,L_2_2_4,L_2_2_5,L_2_2_6,L_2_1_1,L_2_1_2,L_2_1_3,L_2_1_4,L_2_1_5,L_2_1_6,L_1_2_1,L_1_2_2,L_1_2_3,L_1_2_4,L_1_2_5,L_1_2_6,L_45_2_1,L_45_2_2,L_45_2_3,L_45_2_4,L_45_2_5,L_45_2_6,L_3_1_1,L_3_1_2,L_3_1_3,L_3_1_4,L_3_1_5,L_3_1_6,L_45_1_1,L_45_1_2,L_45_1_3,L_45_1_4,L_45_1_5,L_45_1_6,L_1_1_1,L_1_1_2,L_1_1_3,L_1_1_4,L_1_1_5,L_1_1_6,L_15_2_1,L_15_2_2,L_15_2_3,L_15_2_4,L_15_2_5,L_15_2_6,L_15_1_1,L_15_1_2,L_15_1_3,L_15_1_4,L_15_1_5,L_15_1_6
ENSSSCG00000000003,5.41886457739032,5.71699089440494,5.72137265947682,6.241077458175037,5.95093492831454,5.35860724911781,4.693684010828642,4.9644760166568,4.6613192277075735,4.779871078083463,4.292129405147939,4.685031466976914,2.189033824390017,5.839707698350369,5.312156888313374,5.734438666137167,5.373300196608388,5.17192735435346,4.640389560054945,4.791293148592206,4.915998851738901,5.096767854714689,5.269407240854037,4.868390453054454,4.900625332536066,4.968551603363945,5.359661722333877,5.687620632084895,5.3743439890385005,5.726013748860151,4.634593268445757,3.169925001442312,5.214901910160696,3.9288440367125674,5.171126746652066,4.561326136453918,4.148934104526339,5.602884408718419,5.883132015657282,5.8189016758856384,5.195347598322219,5.664198369291911,4.785550551739256,5.279842693520348,5.072105800480419,5.0413306068206225,4.896271848807375,4.670160514126633,4.571676809970931,4.542877099354142,4.980939266085512,4.314696525656286,4.855491443101874,4.564378168565064
ENSSSCG00000000005,4.556429415449573,5.034743949324734,5.526694845541976,4.5229345609434555,4.605257262939004,5.064796645911805,4.379604911553099,4.409145142645393,4.3864555204194495,4.419529198872048,4.248229647663797,4.384626643739673,3.8933622107638715,4.466627120041501,4.245647773636751,4.602884408718419,5.222263603528345,4.23342794374847,4.335569005556748,4.501439145158873,4.993674361750585,4.62760683812965,4.3175935046234715,5.052676724303575,4.777682717073553,3.4449320489421824,4.717539343391165,4.28909670241999,4.811471030529836,4.253232938538032,5.007644030878014,3.37851162325373,4.460742563789644,4.295723024539968,4.101818134227409,3.9240998856407416,4.938756261492295,4.434961760187254,3.9891390073682333,3.8669079781431663,3.91169158187234,3.859969548221026,4.495695162624068,4.5229345609434555,4.794415866350106,4.071247819461443,4.676380255466924,4.5109619192773796,4.309612772454123,4.032100843167024,4.277240898332068,4.001802242633985,4.035623909730721,3.5298209465286954
ENSSSCG00000000006,3.8349134297010385,3.7602209464665095,4.6904170955324656,3.723558561472103,3.6644828403646827,3.23112515787905,3.0616128648552587,3.0640613722057144,2.993724581878407,3.0943598532767624,3.0360875063286867,3.0807163361260375,0.7739963251111731,3.298658315564515,2.957914598632985,1.9781956296816516,4.132576842670009,2.211012193485512,0.722466024471091,1.875780063068488,2.339137384919585,3.0513721017210256,2.611172380044005,2.063502942306158,1.411426245726465,2.927896453728821,2.440952198029637,3.795974694206668,2.130930869826449,3.270528942380718,2.8257856274647914,0.5360529002402097,2.992768430768924,0.9708536543404835,2.9088129077395473,2.867896463992655,0.8155754288625726,3.582556003014061,3.3204846780176935,3.625270489374693,2.720278465233327,3.5801454844233804,2.604071323668861,3.512226886513957,3.715893370547605,3.0806576633452254,3.9457949567400608,2.845991770664573,3.2387868595871163,2.5801454844233804,3.1243281350022016,2.6064422281316078,3.2141248053528475,2.8135246892978105
ENSSSCG00000000007,3.203201156316611,3.229587922740652,3.521050736900963,3.5172756932095814,2.9164766444377164,3.00539998774259,3.215213629714519,3.2795386897023073,3.24551016992782,3.2374057769258604,3.124729045581059,3.247258402526294,2.130930869826449,2.729008870337863,3.158660175346498,3.0,3.2883585621936606,2.9164766444377164,2.7355221772965375,2.8155754288625725,2.7845039829295666,2.9411063109464313,2.899175630480513,3.2600256559614555,3.077242998932461,3.2141248053528475,2.944858445807539,2.9373443921502322,3.171527106038814,3.039138393906958,3.2764966656403565,2.4222330006830477,3.063502942306158,2.765534746362977,3.0959244199985356,3.333423733725192,2.636914580355878,2.942983598187102,3.0071955014042038,2.957914598632985,3.2016338611696504,3.0874628412503395,3.0018022426339854,2.974529312483882,2.7484612330040354,2.7548875021634687,2.8579809951275723,3.017921907997262,3.137503523749935,3.176322772640463,3.327687364176047,3.2418401835646704,3.4276061727818994,3.2600256559614555
ENSSSCG00000000010,6.025250321561575,6.17672169288105,5.681449265314958,5.94626298433245,6.310885391185277,5.975217457043024,5.483878735355876,6.316030570772569,5.462696871411464,5.821681195918207,5.172227128013326,5.745257142372894,3.0303360783709588,5.990954860396993,6.20906339534927,6.070174625154059,5.48832219114082,6.149543908709094,5.815831566464824,6.331454428282007,6.072534599722955,6.244696817804489,6.136888607903066,5.369815424283912,6.149950301681046,6.839203788096944,6.9618548076361595,7.440370884722809,6.627315001365048,7.080977374158919,6.510487270468726,5.2731428593080825,7.094869432718697,6.183486514459391,6.879950768412603,6.443440891144429,5.325530331567558,7.095924419998536,7.227664072554389,7.281976377858754,7.082574866339516,7.106746128184433,6.429281193335658,5.932391940068527,6.451870478864323,5.882887553224962,5.628481994383899,6.653633311386255,5.489928219405183,6.324450604656073,5.929317594911761,6.70376517879341,5.989139007368233,6.588264894307497
ENSSSCG00000000014,1.8237493603082728,1.8278190246173196,2.3757345385831563,1.4276061727818994,1.3673710656485294,1.232660756790275,1.572030791615926,1.5696461885907154,1.7134452404976717,1.6118213327544222,1.5119532574575236,1.6612223334141836,1.613531652917927,1.3219280948873624,1.613531652917927,0.8718436485093178,2.0874628412503395,1.144046369616707,0.9486008474933558,1.4854268271702418,1.632268215499513,1.2509615735332187,1.570462931026041,1.790772037862,1.4541758931858022,1.9781956296816516,1.565597175854225,1.3673710656485294,1.713695814843359,1.1243281350022014,1.411426245726465,1.1110313123887439,1.613531652917927,1.1953475983222193,1.2265085298086797,1.6182386555954547,2.678071905112638,0.9927684307689242,0.879705766282288,0.8639384504239714,0.8953026213333066,1.713695814843359,1.7048719644563528,0.9708536543404835,1.232660756790275,1.232660756790275,1.7570232465074596,1.4750848829487828,2.0036022366801953,1.8073549220576042,1.8559896973084806,1.5360529002402097,1.1890338243900171,1.5558161550616396
ENSSSCG00000000018,1.9297909977185974,2.269033146455237,2.3074285251922473,2.114367024952,1.7865963618908067,1.8519988371124463,2.300373136634246,2.3083479539173575,2.3150050893980345,2.3113202961571884,2.2987697204267907,2.3090538857051692,0.918386234446348,1.5897634869849773,1.9597701552114672,1.3895668117627256,2.0942360698457656,1.2203299548795556,1.3840498067951599,1.1375035237499351,1.632268215499513,1.6599245584023783,1.3617683594191536,1.1953475983222193,1.9708536543404835,1.9183862344463478,1.5558161550616396,2.2839217723076173,1.859969548221026,2.111031312388744,1.8399595874895318,1.0976107966264221,1.84799690655495,1.5410191531335593,1.9671686075326276,1.9634741239748859,1.7570232465074596,1.74416109557041,1.8073549220576042,1.922197848396367,1.6644828403646825,1.8875252707415875,2.1009776477248208,1.8639384504239715,2.4356285940520905,2.035623909730721,2.3305584000308026,2.298658315564515,2.584962500721156,2.726831217032493,2.5310694927259543,2.169925001442312,2.5582676340557358,2.2479275134435857
ENSSSCG00000000019,4.647890091059215,4.588564737401351,4.5570424152637194,4.218781167784069,4.41886457739032,4.3175935046234715,4.025435104731065,4.277048715664576,4.146573591062117,4.145012526815776,3.9663242189575802,4.138685671151076,1.8519988371124463,4.068670810665099,4.496973580998276,3.533563348214512,4.474436043252266,3.7813597135246595,3.263034405833794,3.9145645234939397,4.152994605492435,4.421559944901823,4.311793717753649,3.9457949567400608,4.0259146987507926,4.662775171937776,3.9373443921502322,4.204766750654613,4.139960569545456,4.689858236319245,4.23189316164533,2.853995647176393,4.341985747228616,3.4698859762744636,4.177120502846516,4.513490745588118,2.8619553641448694,4.266786540694901,4.211012193485511,4.234961094839504,4.049630767724601,4.362469888750209,4.461397589926158,4.446917864866026,4.442943495848728,4.143230134776893,4.394376944957055,4.561937059622433,5.219168520462161,4.92552476974757,5.002252451731379,5.008092420948722,5.0,4.721919445551544
ENSSSCG00000000021,0.8559896973084807,1.8519988371124463,1.1699250014423124,2.0874628412503395,1.8439838440483265,0.6507645591169021,1.7214734720587779,1.7521780183786002,1.723437850441023,1.7120463460189557,1.6796610528451652,1.7525275308646153,0.8155754288625726,2.0942360698457656,2.6182386555954547,1.84799690655495,1.8953026213333068,2.3074285251922473,1.7824085649273733,1.480265122054463,1.550900664647523,1.903038270112912,1.713695814843359,1.613531652917927,2.5533605033353277,2.8032270364349277,2.1342209397606338,2.2387868595871168,2.1667154449664223,1.8439838440483265,1.9818526532897407,1.7782085763980877,2.572889668420581,2.2387868595871168,2.372952097911829,1.3504972470841332,2.169925001442312,2.702657543390911,2.594548549550354,1.6599245584023783,2.773996325111173,1.4005379295837286,2.2448870591235344,1.956056652412403,1.8399595874895318,2.599317793698226,1.765534746362977,2.2660368939953175,2.851998837112446,2.495695162624069,3.0089887832272546,2.250961573533219,2.211012193485512,2.533563348214512
ENSSSCG00000000025,2.176322772640463,1.6780719051126378,2.2898344651775093,2.1602748314085933,1.8953026213333068,2.150559676575381,2.2154252673900325,2.2081996537587907,2.187501095445825,2.2268999094919035,2.1888615561674163,2.1819617226762915,0.8155754288625726,1.84799690655495,2.298658315564515,1.2750070474998698,2.137503523749935,1.2141248053528475,0.903038270112912,1.2016338611696504,1.722466024471091,2.0,1.0976107966264221,0.8559896973084807,1.3448284969974411,2.5801454844233804,1.2265085298086797,1.7048719644563528,1.232660756790275,1.7048719644563528,1.996388746447621,0.6229303509201767,1.6276068381296498,1.84799690655495,2.250961573533219,2.2839217723076173,1.584962500721156,1.9297909977185974,1.7004397181410922,2.280956313831056,1.5008020530571577,1.6229303509201767,2.017921907997262,2.114367024952,2.927896453728821,2.587364990936461,2.0214797274104517,3.228049047884462,3.5921580021253603,3.040892430646901,2.853995647176393,2.594548549550354,2.9726926540042644,2.985500430304885
